2023-05-03 20:16:14,139 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~gmark/Home_page/Welcome.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:14,659 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2116, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:15,198 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2115, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:15,738 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2114, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:16,279 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2113, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:16,820 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2112, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:17,358 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2111, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:17,904 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2110, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:18,434 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2121, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:18,972 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2121, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:19,536 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=2122, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:20,067 - Worker-0 - INFO - Downloaded http://ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:20,629 - Worker-0 - INFO - Downloaded https://ics.uci.edu/ugrad/livechat.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:21,173 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/ugrad/livechat.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:21,707 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=2221, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:22,250 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2222, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:22,800 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2223, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:23,333 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2221, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:23,865 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2220, status <200>, using cache ('styx.ics.uci.edu', 9013).
